title,normalized_job_title,normalized_job_code
Data Capture Specialist,data capture specialist,4f75f97ac5b5f00f9420074d501f0803
Reference Data Expert,reference data expert,f36c6ada3a808453a0bf241c74a4e994
Data Recovery Planner,data recovery planner,41ba88cfd476ee8d5e3d9f7cea62f051
Data Processing Consultant,data processing consultant,894ca61c22718617c7e2404f582153da
Clinical Data Coordinator,clinical data coordinator,34d80517fe3bc143f9fc850386b8ffd7
Data Processing Systems Analyst,data processing systems analyst,e7b3e1c6a32c7247cd4857e4c3574165
Data Warehousing Specialist,data warehousing specialist,36ac256201657eeaa67ee95aaae3cd54
Business Database Analyst,business database analyst,bc6dcc49557388a9f53d6e642e73d7a2
Database Analyst,database analyst,00bff17fca67555d8d86e8ead86dcd70
Data Center Manager,data center manager,b42566382f2d3deeca56d3667004fc9e
Data Control Assistant,data control assistant,7932d4705d002b47789c11edfaed685e
Database Development Project Manager,database development project manager,aee597cd78f235c9db9d3ca987c7c846
SCADA Technician (Supervisory Control and Data Acquisition Technician),scada technician supervisory control and data acquisition technician,1c37a6e2bf157c0eff4665c57c52602d
Survey Data Technician,survey data technician,46b09f5f86f1ed46a8cb8e14d41418c7
"Engineer, System Electronic Data Processing (Engineer, System EDP)",engineer system electronic data processing engineer system edp,a2a9fbe67b4aa2b551ba0f3adac90a99
Data Warehouse Architect,data warehouse architect,77d124811ae6887bd4ff42b0e2b49116
"Naval Tactical Data System--Combat Information Center Watch Officer, Carrier Controlled Approach Controller",naval tactical data systemcombat information center watch officer carrier controlled approach controller,f05d2014d4a9adaab50fa1e0ca6f6c8c
Data Compiler,data compiler,ac2588d5d7676a49bdcd038e4a0a0ec5
Data Modeling Specialist,data modeling specialist,2173ff3afd8d28192f7cf119af201940
Clinical Data Manager,clinical data manager,f5bc91b67dc30ad204158092116c4ed2
Data Abstractor,data abstractor,433df1b945d32f17d9e61cf60a9bd06e
Clinical Data Management Associate Director,clinical data management associate director,1295a187473fd2f53427769fc7a4c02e
Data Reduction Technician,data reduction technician,004431b0c1ce29ff6145307fa23f3f98
Data Operations Director,data operations director,8fd068c8d9be73abfa678856177b6c40
Data Center Operator,data center operator,c34f03aa0a9c6edbe8ec50f4fa3687a8
Clinical Trials Data Coordinator,clinical trials data coordinator,7aecc34a90868aac810bf3693b11534e
Database Administrator (DBA),database administrator dba,086f0063610283d1c23c44bca4ef92c0
Data Processing Auxiliary Equipment Operator,data processing auxiliary equipment operator,16b49a63ac3fcb90356c30187110ed94
Data Collection Technician,data collection technician,437e4414c78611a270a5cedb4b4c0eed
Database Specialist,database specialist,679fb7003e0aedc14891fcd15dd846c5
Data Acquisition Technician,data acquisition technician,7a37ddb38441873334fd8ff07c17ad22
Data Processing Mechanic,data processing mechanic,58eaf730050d2e23c7361fbb782e30a2
Data Sciences Director,data sciences director,d0abc47e83e7d85921e113f85175547a
Databases Software Consultant,databases software consultant,73d251075a710326ae436d9819246377
Data Entry Machine Operator,data entry machine operator,5e2bfe1fb8451158ff488c673535980c
Micro Computer Data Processor,micro computer data processor,ac9f868b5c3e7cb3f31bcead5dadeb71
